State,fips,1940,1950,1970,1980,1990,2000,2010
AK,US02,,7937,1734,901,1585,13888,18213
AL,US01,122982,68924,3044,12393,19516,5913,5099
AR,US05,109599,70092,6095,6607,12080,10438,6956
AZ,US04,109221,72965,2520,28503,28845,25420,14538
CA,US06,145839,87587,56312,90369,77465,6758,20393
CO,US08,126678,53006,2788,31547,60750,61818,24379
CT,US09,168056,72318,2397,5712,15011,1700,126
DC,US11,109361,49461,3,129,1728,240,1507
DE,US10,82172,26605,342,2096,1701,156,1431
FL,US12,108345,70300,10340,27935,49373,59089,53816
GA,US13,108344,58135,14188,35719,17430,3007,9545
HI,US15,,3342,471,18261,12912,492,513
IA,US19,118128,55015,975,6536,13640,2067,3
ID,US16,103637,51793,1694,21568,43803,12347,42669
IL,US17,135225,71463,28525,21029,21507,6882,12
IN,US18,121322,76673,5725,27820,39921,28419,3
KS,US20,141837,63998,1364,12421,5964,19907,717
KY,US21,154581,77376,10067,5148,1876,8131,17916
LA,US22,96338,56005,6306,9600,4749,27,30
MA,US25,107482,74539,2166,24031,75370,9145,4407
MD,US24,161195,84533,135,19869,38446,20029,24030
ME,US23,119796,66747,467,5295,8592,3280,25455
MI,US26,109624,89474,24721,17523,21756,33978,44681
MN,US27,145907,60201,2367,16258,42685,18997,6057
MO,US29,117818,72505,9115,10333,22072,34276,47983
MS,US28,55021,65711,3978,1574,279,1188,375
MT,US30,104419,50398,2058,4663,5393,10036,25939
NC,US37,127541,77153,13479,30425,37053,24952,28320
ND,US38,89225,42001,456,246,932,3191,5569
NE,US31,90844,30653,138,1574,2744,14374,29758
NH,US33,79054,45120,1223,11292,41315,10239,369
NJ,US34,117733,78424,1095,4108,74,2278,
NM,US35,88891,63744,7264,6497,41244,10652,803
NV,US32,19533,3911,12,360,3288,1650,9678
NY,US36,99633,90010,44557,85193,90653,72062,50339
OH,US39,119037,81449,22179,46785,75848,54576,47164
OK,US40,111064,68654,5100,35141,24254,7419,15988
OR,US41,110101,72612,14648,9971,24237,9483,14077
PA,US42,112474,107153,4428,35227,53575,57270,54155
RI,US44,111032,57489,1738,3394,8051,4247,5915
SC,US45,154907,62320,2231,3215,10496,13739,16864
SD,US46,78300,25775,842,1565,2873,590,
TN,US47,135286,69335,17887,10590,19261,19811,35750
TX,US48,118255,64225,31835,29272,33340,27828,56913
UT,US49,123440,46828,6194,8945,19885,25089,492
VA,US51,161645,72080,4088,12343,20274,18069,38486
VT,US50,115150,58297,1136,1908,26178,13422,11648
WA,US53,127986,64977,12446,49706,79364,57406,40736
WI,US55,124586,77439,19091,6038,585,877,12781
WV,US54,119751,72545,6803,6968,2810,1940,6295
WY,US56,87527,26624,344,1508,57,2530,6
,,0,0,0,0,0,0,0
,,170000,170000,170000,170000,170000,170000,170000
