year,week,state,number
1940,2,AL,13
1940,3,AL,19
1940,4,AL,10
1940,6,AL,7
1940,7,AL,33
1940,8,AL,19
1940,9,AL,12
1940,10,AL,23
1940,11,AL,31
1940,12,AL,4
1940,13,AL,33
1940,14,AL,23
1940,15,AL,31
1940,16,AL,22
1940,17,AL,18
1940,18,AL,35
1940,19,AL,18
1940,20,AL,16
1940,21,AL,28
1940,22,AL,11
1940,23,AL,14
1940,24,AL,19
1940,25,AL,19
1940,26,AL,15
1940,27,AL,16
1940,28,AL,17
1940,29,AL,21
1940,30,AL,23
1940,31,AL,10
1940,32,AL,9
1940,33,AL,15
1940,34,AL,55
1940,35,AL,21
1940,36,AL,7
1940,37,AL,11
1940,38,AL,7
1940,39,AL,27
1940,40,AL,18
1940,41,AL,12
1940,42,AL,9
1940,43,AL,28
1940,44,AL,19
1940,45,AL,5
1940,46,AL,3
1940,47,AL,13
1940,48,AL,11
1940,49,AL,26
1940,50,AL,50
1940,51,AL,47
1940,52,AL,21
1940,5,AL,22
1940,2,AR,3
1940,3,AR,3
1940,4,AR,17
1940,6,AR,6
1940,7,AR,5
1940,8,AR,10
1940,9,AR,1
1940,10,AR,7
1940,11,AR,2
1940,12,AR,7
1940,13,AR,18
1940,14,AR,3
1940,15,AR,24
1940,16,AR,11
1940,17,AR,33
1940,9,AR,30
1940,19,AR,19
1940,20,AR,11
1940,21,AR,12
1940,22,AR,15
1940,23,AR,20
1940,24,AR,17
1940,25,AR,31
1940,26,AR,22
1940,27,AR,37
1940,28,AR,36
1940,29,AR,47
1940,30,AR,23
1940,31,AR,11
1940,32,AR,18
1940,33,AR,11
1940,34,AR,18
1940,35,AR,5
1940,36,AR,19
1940,37,AR,5
1940,38,AR,21
1940,39,AR,6
1940,40,AR,7
1940,41,AR,29
1940,42,AR,12
1940,43,AR,14
1940,44,AR,57
1940,45,AR,22
1940,46,AR,11
1940,47,AR,7
1940,48,AR,15
1940,49,AR,14
1940,50,AR,21
1940,51,AR,34
1940,52,AR,15
1940,5,AR,1
1940,2,AZ,37
1940,3,AZ,15
1940,4,AZ,12
1940,6,AZ,26
1940,7,AZ,12
1940,8,AZ,23
1940,9,AZ,28
1940,10,AZ,44
1940,11,AZ,14
1940,12,AZ,25
1940,13,AZ,29
1940,14,AZ,30
1940,15,AZ,37
1940,16,AZ,36
1940,17,AZ,31
1940,9,AZ,11
1940,19,AZ,38
1940,20,AZ,23
1940,21,AZ,75
1940,22,AZ,42
1940,23,AZ,29
1940,24,AZ,48
1940,25,AZ,11
1940,26,AZ,34
1940,27,AZ,3
1940,28,AZ,0
1940,29,AZ,13
1940,30,AZ,7
1940,31,AZ,17
1940,32,AZ,5
1940,33,AZ,7
1940,34,AZ,5
1940,35,AZ,14
1940,36,AZ,2
1940,37,AZ,3
1940,38,AZ,8
1940,39,AZ,12
1940,40,AZ,9
1940,41,AZ,2
1940,42,AZ,12
1940,43,AZ,11
1940,44,AZ,2
1940,45,AZ,9
1940,46,AZ,10
1940,47,AZ,2
1940,48,AZ,9
1940,49,AZ,19
1940,50,AZ,11
1940,51,AZ,1
1940,52,AZ,14
1940,5,AZ,9
1940,2,CA,183
1940,3,CA,163
1940,4,CA,166
1940,6,CA,154
1940,7,CA,153
1940,8,CA,198
1940,9,CA,167
1940,10,CA,246
1940,11,CA,241
1940,12,CA,205
1940,13,CA,258
1940,14,CA,372
1940,15,CA,305
1940,16,CA,418
1940,17,CA,455
1940,9,CA,354
1940,19,CA,479
1940,20,CA,501
1940,21,CA,462
1940,22,CA,385
1940,23,CA,431
1940,24,CA,471
1940,25,CA,368
1940,26,CA,346
1940,27,CA,287
1940,28,CA,242
1940,29,CA,276
1940,30,CA,297
1940,31,CA,317
1940,32,CA,260
1940,33,CA,326
1940,34,CA,258
1940,35,CA,215
1940,36,CA,215
1940,37,CA,228
1940,38,CA,257
1940,39,CA,269
1940,40,CA,240
1940,41,CA,248
1940,42,CA,249
1940,43,CA,263
1940,44,CA,300
1940,45,CA,265
1940,46,CA,285
1940,47,CA,323
1940,48,CA,462
1940,49,CA,316
1940,50,CA,288
1940,51,CA,149
1940,52,CA,128
1940,5,CA,194
1940,2,CO,15
1940,3,CO,8
1940,4,CO,32
1940,6,CO,20
1940,7,CO,12
1940,8,CO,3
1940,9,CO,11
1940,10,CO,11
1940,11,CO,6
1940,12,CO,6
1940,13,CO,5
1940,14,CO,2
1940,15,CO,22
1940,16,CO,18
1940,17,CO,16
1940,9,CO,4
1940,19,CO,16
1940,20,CO,13
1940,21,CO,9
1940,22,CO,20
1940,23,CO,21
1940,24,CO,5
1940,25,CO,24
1940,26,CO,21
1940,27,CO,9
1940,28,CO,11
1940,29,CO,15
1940,30,CO,17
1940,31,CO,30
1940,32,CO,9
1940,33,CO,13
1940,34,CO,13
1940,35,CO,9
1940,36,CO,14
1940,37,CO,15
1940,38,CO,6
1940,39,CO,13
1940,40,CO,8
1940,41,CO,19
1940,42,CO,13
1940,43,CO,27
1940,44,CO,31
1940,45,CO,17
1940,46,CO,38
1940,47,CO,17
1940,48,CO,17
1940,49,CO,40
1940,50,CO,40
1940,51,CO,40
1940,52,CO,19
1940,5,CO,50
1940,2,CT,87
1940,3,CT,72
1940,4,CT,78
1940,6,CT,64
1940,7,CT,45
1940,8,CT,27
1940,9,CT,63
1940,10,CT,20
1940,11,CT,29
1940,12,CT,23
1940,13,CT,25
1940,14,CT,26
1940,15,CT,24
1940,16,CT,25
1940,17,CT,32
1940,9,CT,11
1940,19,CT,27
1940,20,CT,33
1940,21,CT,37
1940,22,CT,33
1940,23,CT,49
1940,24,CT,44
1940,25,CT,54
1940,26,CT,29
1940,27,CT,26
1940,28,CT,63
1940,29,CT,45
1940,30,CT,63
1940,31,CT,46
1940,32,CT,25
1940,33,CT,32
1940,34,CT,38
1940,35,CT,20
1940,36,CT,44
1940,37,CT,25
1940,38,CT,47
1940,39,CT,49
1940,40,CT,64
1940,41,CT,65
1940,42,CT,88
1940,43,CT,81
1940,44,CT,86
1940,45,CT,94
1940,46,CT,80
1940,47,CT,115
1940,48,CT,91
1940,49,CT,61
1940,50,CT,127
1940,51,CT,81
1940,52,CT,35
1940,5,CT,74
1940,2,DC,5
1940,3,DC,8
1940,4,DC,1
1940,6,DC,15
1940,7,DC,18
1940,8,DC,24
1940,9,DC,6
1940,10,DC,24
1940,11,DC,15
1940,12,DC,14
1940,13,DC,7
1940,14,DC,14
1940,15,DC,10
1940,16,DC,7
1940,17,DC,22
1940,9,DC,4
1940,19,DC,12
1940,20,DC,5
1940,21,DC,5
1940,22,DC,8
1940,23,DC,5
1940,24,DC,5
1940,25,DC,4
1940,26,DC,1
1940,27,DC,3
1940,28,DC,13
1940,29,DC,5
1940,30,DC,17
1940,31,DC,6
1940,32,DC,6
1940,33,DC,12
1940,34,DC,6
1940,35,DC,9
1940,36,DC,3
1940,37,DC,4
1940,38,DC,7
1940,39,DC,2
1940,40,DC,1
1940,41,DC,4
1940,42,DC,2
1940,43,DC,7
1940,44,DC,11
1940,45,DC,14
1940,46,DC,3
1940,47,DC,9
1940,48,DC,10
1940,49,DC,14
1940,50,DC,10
1940,51,DC,13
1940,52,DC,17
1940,5,DC,9
