date,ALL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1937,25482,137,0,28,173,2143,62,329,71,44,40,94,0,82,708,211,271,536,564,71,315,608,1203,1188,431,0,515,169,108,0,61,931,302,3215,1483,251,1551,512,187,1259,218,279,251,266,931,118,242,599,621,454,1548,102
1938,170558,1005,0,298,467,4045,937,3408,358,495,666,1570,0,84,14753,899,1272,4396,1242,650,2219,2174,5672,13594,1821,0,1844,921,493,0,99,11293,422,24799,13018,1218,8052,396,508,13904,1206,2708,628,1052,2889,877,1856,3560,987,2671,13024,108
1939,172576,1892,0,748,787,6939,1918,3800,430,1332,1112,1410,0,132,13064,2646,951,912,1659,1098,2170,2138,7597,8690,2325,0,1117,413,510,0,138,13292,1125,21855,9326,669,9252,191,999,18261,2050,2665,157,2154,4735,2532,2184,3105,981,1045,9886,184
1940,168616,996,0,926,843,14638,870,2622,616,456,389,917,0,460,6257,1301,1147,2494,3703,880,1705,6188,7755,11228,2342,0,1582,186,414,5,357,5412,1574,17796,5437,639,11780,723,1151,19670,331,1056,185,2098,10009,4984,1152,2876,2433,2193,5599,241
1941,210916,1614,0,1220,1134,19641,5069,2892,287,772,764,1299,0,621,7937,1259,1720,5231,3507,408,1219,3590,9967,16012,3638,0,1860,1062,691,244,518,7001,1132,18462,10944,916,15122,1170,1110,15330,1201,5010,619,2676,11141,2823,634,4430,4911,2282,9430,396
1942,177898,1664,0,1199,872,11635,1344,4157,124,955,818,1277,0,233,11807,2069,1196,2191,3108,305,1957,2991,10878,11090,2255,0,672,992,411,223,327,12552,1067,22306,5522,502,9774,483,1076,12767,1634,2533,164,1814,7410,1404,2300,2389,2855,1276,10933,387
1943,176374,1970,0,943,1453,12626,1616,1902,211,1093,1098,1612,0,149,7500,2341,1701,2829,2318,336,1777,4410,6001,11714,3394,0,1309,1039,614,101,202,7648,566,14804,8393,819,8362,868,1369,11865,1670,3241,305,3046,16522,2353,1102,5060,2354,2478,11106,184
1944,95608,1176,0,967,908,4457,1490,2108,57,175,979,682,0,203,3219,763,513,1670,2574,107,857,2943,4058,3913,1453,0,902,759,572,97,103,3084,163,8219,6354,409,5629,393,759,5051,442,3419,342,1285,9344,1676,1228,2714,1400,1197,4406,389
1945,123299,1075,0,828,663,12271,1650,2427,103,410,480,858,0,401,4118,1064,275,1514,1914,293,2153,2769,7244,5051,838,0,854,359,192,35,227,7284,364,13510,5840,88,7680,667,769,9388,951,3532,141,1409,10310,1185,1448,2712,1309,1176,3296,174
1946,100110,1110,0,693,489,3796,1030,2200,183,374,1028,559,0,466,5429,1188,1032,1095,1308,275,825,1376,6424,7559,488,0,652,201,186,17,201,7098,522,8993,3393,42,4169,459,824,6458,1365,2056,30,1201,8431,721,876,3059,1507,1180,7303,239
