number,year,count,date,date,month,decade,season,monthname
12,1909,13,3376,3/29/09,3,1900,Spring,March
1,1921,20,7807,5/16/21,5,1920,Spring,May
2,1922,42,8325,10/16/22,10,1920,Autumn,October
24,1922,50,8381,12/11/22,12,1920,Winter,December
1,1922,51,8388,12/18/22,12,1920,Winter,December
2,1923,42,8689,10/15/23,10,1920,Autumn,October
2848,1927,47,10187,11/21/27,11,1920,Autumn ,November
3691,1927,48,10194,11/28/27,11,1920,Autumn ,November
4703,1927,49,10201,12/5/27,12,1920,Winter,December
3013,1927,51,10215,12/19/27,12,1920,Winter,December
4949,1927,52,10222,12/26/27,12,1920,Winter,December
7647,1928,1,10229,1/2/28,1,1920,Winter,January
11427,1928,2,10236,1/9/28,1,1920,Winter,January
11970,1928,3,10243,1/16/28,1,1920,Winter,January
12920,1928,4,10250,1/23/28,1,1920,Winter,January
14660,1928,5,10257,1/30/28,1,1920,Winter,January
15805,1928,6,10264,2/6/28,2,1920,Winter,February
12652,1928,7,10271,2/13/28,2,1920,Winter,February
16911,1928,8,10278,2/20/28,2,1920,Winter,February
19482,1928,9,10285,2/27/28,2,1920,Winter,February
18378,1928,10,10292,3/5/28,3,1920,Spring,March
19568,1928,11,10299,3/12/28,3,1920,Spring,March
21000,1928,12,10306,3/19/28,3,1920,Spring,March
19980,1928,13,10313,3/26/28,3,1920,Spring,March
20638,1928,14,10320,4/2/28,4,1920,Spring,April
18866,1928,15,10327,4/9/28,4,1920,Spring,April
19882,1928,16,10334,4/16/28,4,1920,Spring,April
19001,1928,17,10341,4/23/28,4,1920,Spring,April
19803,1928,18,10348,4/30/28,4,1920,Spring,April
19861,1928,19,10355,5/7/28,5,1920,Spring,May
19178,1928,20,10362,5/14/28,5,1920,Spring,May
17872,1928,21,10369,5/21/28,5,1920,Spring,May
17286,1928,22,10376,5/28/28,5,1920,Spring,May
14763,1928,23,10383,6/4/28,6,1920,Summer,June
13554,1928,24,10390,6/11/28,6,1920,Summer,June
10773,1928,25,10397,6/18/28,6,1920,Summer,June
8768,1928,26,10404,6/25/28,6,1920,Summer,June
6222,1928,27,10411,7/2/28,7,1920,Summer,July
5109,1928,28,10418,7/9/28,7,1920,Summer,July
3526,1928,29,10425,7/16/28,7,1920,Summer,July
2610,1928,30,10432,7/23/28,7,1920,Summer,July
2054,1928,31,10439,7/30/28,7,1920,Summer,July
1201,1928,32,10446,8/6/28,8,1920,Summer,August
845,1928,33,10453,8/13/28,8,1920,Summer,August
511,1928,34,10460,8/20/28,8,1920,Summer,August
612,1928,35,10467,8/27/28,8,1920,Summer,August
459,1928,36,10474,9/3/28,9,1920,Autumn,September
574,1928,37,10481,9/10/28,9,1920,Autumn,September
483,1928,38,10488,9/17/28,9,1920,Autumn,September
680,1928,39,10495,9/24/28,9,1920,Autumn,September
763,1928,40,10502,10/1/28,10,1920,Autumn,October
916,1928,41,10509,10/8/28,10,1920,Autumn,October
1423,1928,42,10516,10/15/28,10,1920,Autumn,October
1573,1928,43,10523,10/22/28,10,1920,Autumn,October
1966,1928,44,10530,10/29/28,10,1920,Autumn,October
1661,1928,45,10537,11/5/28,11,1920,Autumn ,November
2679,1928,46,10544,11/12/28,11,1920,Autumn ,November
3450,1928,47,10551,11/19/28,11,1920,Autumn ,November
3330,1928,48,10558,11/26/28,11,1920,Autumn ,November
3773,1928,49,10565,12/3/28,12,1920,Winter,December
4722,1928,50,10572,12/10/28,12,1920,Winter,December
4452,1928,51,10579,12/17/28,12,1920,Winter,December
5385,1928,52,10586,12/24/28,12,1920,Winter,December
4598,1929,1,10593,12/31/28,12,1920,Winter,December
6009,1929,2,10600,1/7/29,1,1920,Winter,January
5323,1929,3,10607,1/14/29,1,1920,Winter,January
6314,1929,4,10614,1/21/29,1,1920,Winter,January
6965,1929,5,10621,1/28/29,1,1920,Winter,January
7575,1929,6,10628,2/4/29,2,1920,Winter,February
9521,1929,7,10635,2/11/29,2,1920,Winter,February
8680,1929,8,10642,2/18/29,2,1920,Winter,February
12517,1929,9,10649,2/25/29,2,1920,Winter,February
11667,1929,10,10656,3/4/29,3,1920,Spring,March
12739,1929,11,10663,3/11/29,3,1920,Spring,March
13151,1929,12,10670,3/18/29,3,1920,Spring,March
13815,1929,13,10677,3/25/29,3,1920,Spring,March
13877,1929,14,10684,4/1/29,4,1920,Spring,April
15864,1929,15,10691,4/8/29,4,1920,Spring,April
13488,1929,16,10698,4/15/29,4,1920,Spring,April
14658,1929,17,10705,4/22/29,4,1920,Spring,April
16026,1929,18,10712,4/29/29,4,1920,Spring,April
15938,1929,19,10719,5/6/29,5,1920,Spring,May
14354,1929,20,10726,5/13/29,5,1920,Spring,May
14555,1929,21,10733,5/20/29,5,1920,Spring,May
14279,1929,22,10740,5/27/29,5,1920,Spring,May
12464,1929,23,10747,6/3/29,6,1920,Summer,June
10213,1929,24,10754,6/10/29,6,1920,Summer,June
7474,1929,25,10761,6/17/29,6,1920,Summer,June
6808,1929,26,10768,6/24/29,6,1920,Summer,June
5001,1929,27,10775,7/1/29,7,1920,Summer,July
3815,1929,28,10782,7/8/29,7,1920,Summer,July
3087,1929,29,10789,7/15/29,7,1920,Summer,July
2006,1929,30,10796,7/22/29,7,1920,Summer,July
1374,1929,31,10803,7/29/29,7,1920,Summer,July
944,1929,32,10810,8/5/29,8,1920,Summer,August
717,1929,33,10817,8/12/29,8,1920,Summer,August
540,1929,34,10824,8/19/29,8,1920,Summer,August
472,1929,35,10831,8/26/29,8,1920,Summer,August
485,1929,36,10838,9/2/29,9,1920,Autumn,September
473,1929,37,10845,9/9/29,9,1920,Autumn,September
433,1929,38,10852,9/16/29,9,1920,Autumn,September
745,1929,39,10859,9/23/29,9,1920,Autumn,September
793,1929,40,10866,9/30/29,9,1920,Autumn,September
1043,1929,41,10873,10/7/29,10,1920,Autumn,October
1363,1929,42,10880,10/14/29,10,1920,Autumn,October
1505,1929,43,10887,10/21/29,10,1920,Autumn,October
1676,1929,44,10894,10/28/29,10,1920,Autumn,October
1941,1929,45,10901,11/4/29,11,1920,Autumn ,November
1994,1929,46,10908,11/11/29,11,1920,Autumn ,November
2673,1929,47,10915,11/18/29,11,1920,Autumn ,November
2837,1929,48,10922,11/25/29,11,1920,Autumn ,November
3163,1929,49,10929,12/2/29,12,1920,Winter,December
4134,1929,50,10936,12/9/29,12,1920,Winter,December
3845,1929,51,10943,12/16/29,12,1920,Winter,December
3130,1929,52,10950,12/23/29,12,1920,Winter,December
4930,1930,1,10957,12/30/29,12,1920,Winter,December
5494,1930,2,10964,1/6/30,1,1930,Winter,January
6204,1930,3,10971,1/13/30,1,1930,Winter,January
6759,1930,4,10978,1/20/30,1,1930,Winter,January
8010,1930,5,10985,1/27/30,1,1930,Winter,January
8928,1930,6,10992,2/3/30,2,1930,Winter,February
10335,1930,7,10999,2/10/30,2,1930,Winter,February
10141,1930,8,11006,2/17/30,2,1930,Winter,February
13134,1930,9,11013,2/24/30,2,1930,Winter,February
12540,1930,10,11020,3/3/30,3,1930,Spring,March
12980,1930,11,11027,3/10/30,3,1930,Spring,March
14456,1930,12,11034,3/17/30,3,1930,Spring,March
15216,1930,13,11041,3/24/30,3,1930,Spring,March
16844,1930,14,11048,3/31/30,3,1930,Spring,March
18576,1930,15,11055,4/7/30,4,1930,Spring,April
17848,1930,16,11062,4/14/30,4,1930,Spring,April
19526,1930,17,11069,4/21/30,4,1930,Spring,April
19914,1930,18,11076,4/28/30,4,1930,Spring,April
18777,1930,19,11083,5/5/30,5,1930,Spring,May
19374,1930,20,11090,5/12/30,5,1930,Spring,May
17243,1930,21,11097,5/19/30,5,1930,Spring,May
14393,1930,22,11104,5/26/30,5,1930,Spring,May
15290,1930,23,11111,6/2/30,6,1930,Summer,June
13103,1930,24,11118,6/9/30,6,1930,Summer,June
10436,1930,25,11125,6/16/30,6,1930,Summer,June
8262,1930,26,11132,6/23/30,6,1930,Summer,June
5538,1930,27,11139,6/30/30,6,1930,Summer,June
4979,1930,28,11146,7/7/30,7,1930,Summer,July
2958,1930,29,11153,7/14/30,7,1930,Summer,July
