number,month,decade
83235,1,1920
103143,2,1920
130298,3,1920
172103,4,1920
133324,5,1920
84817,6,1920
34804,7,1920
5842,8,1920
5125,9,1920
12232,10,1920
27104,11,1920
54822,12,1920
432802,1,1930
658770,2,1930
890114,3,1930
927970,4,1930
849405,5,1930
458183,6,1930
145574,7,1930
33524,8,1930
21543,9,1930
47500,10,1930
102326,11,1930
176893,12,1930
360122,1,1940
536165,2,1940
1040893,3,1940
963432,4,1940
820134,5,1940
498887,6,1940
129904,7,1940
39562,8,1940
26835,9,1940
48966,10,1940
101821,11,1940
164690,12,1940
414037,1,1950
564136,2,1950
980036,3,1950
1058151,4,1950
1008657,5,1950
608569,6,1950
214359,7,1950
60732,8,1950
36567,9,1950
62064,10,1950
116944,11,1950
167817,12,1950
228650,1,1960
303785,2,1960
424882,3,1960
493090,4,1960
535677,5,1960
288783,6,1960
108410,7,1960
36273,8,1960
21253,9,1960
36922,10,1960
65447,11,1960
103083,12,1960
23829,1,1970
33324,2,1970
56641,3,1970
62973,4,1970
70327,5,1970
39185,6,1970
15821,7,1970
7843,8,1970
4484,9,1970
6920,10,1970
12361,11,1970
12594,12,1970
1114,1,1980
2028,2,1980
5162,3,1980
4572,4,1980
5114,5,1980
4488,6,1980
1715,7,1980
1246,8,1980
905,9,1980
1024,10,1980
1114,11,1980
1527,12,1980
379,1,1990
1138,2,1990
1004,3,1990
2051,4,1990
1124,5,1990
2354,6,1990
1448,7,1990
1259,8,1990
2075,9,1990
441,10,1990
755,11,1990
964,12,1990
3,1,2000
4,2,2000
2,3,2000
11,4,2000
6,5,2000
9,6,2000
12,7,2000
6,8,2000
52,9,2000
2,10,2000
1,11,2000
1,12,2000
