number,week,year,date,decade,month,season
1,13,1909,3/29/2009,1910,3,Spring
1,50,1920,12/6/2020,1920,12,Winter
1,52,1920,12/20/2020,1920,12,Winter
1,1,1921,1/3/2021,1920,1,Winter
2,4,1922,1/23/2022,1920,1,Winter
1,7,1922,2/13/2022,1920,2,Winter
1,35,1922,8/28/2022,1920,8,Summer
4,37,1922,9/11/2022,1920,9,Autumn
2,38,1922,9/18/2022,1920,9,Autumn
2,40,1922,10/2/2022,1920,10,Autumn
1,41,1922,10/9/2022,1920,10,Autumn
4,42,1922,10/16/2022,1920,10,Autumn
5,46,1922,11/13/2022,1920,11,Autumn
4,50,1922,12/11/2022,1920,12,Winter
3,51,1922,12/18/2022,1920,12,Winter
1,52,1922,12/25/2022,1920,12,Winter
1,2,1923,1/8/2023,1920,1,Winter
7,4,1923,1/22/2023,1920,1,Winter
2,6,1923,2/5/2023,1920,2,Winter
2,7,1923,2/12/2023,1920,2,Winter
1,8,1923,2/19/2023,1920,2,Winter
1,11,1923,3/12/2023,1920,3,Spring
6,16,1923,4/16/2023,1920,4,Spring
1,29,1923,7/16/2023,1920,7,Summer
6,34,1923,8/20/2023,1920,8,Summer
12,35,1923,8/27/2023,1920,8,Summer
4,37,1923,9/10/2023,1920,9,Autumn
4,38,1923,9/17/2023,1920,9,Autumn
9,39,1923,9/24/2023,1920,9,Autumn
3,40,1923,10/1/2023,1920,10,Autumn
6,41,1923,10/8/2023,1920,10,Autumn
3,42,1923,10/15/2023,1920,10,Autumn
6,43,1923,10/22/2023,1920,10,Autumn
4,44,1923,10/29/2023,1920,10,Autumn
3,45,1923,11/5/2023,1920,11,Autumn
2,46,1923,11/12/2023,1920,11,Autumn
28,51,1923,12/17/2023,1920,12,Winter
17,31,1925,7/27/2025,1920,7,Summer
2968,47,1927,11/21/2027,1920,11,Autumn
3976,48,1927,11/28/2027,1920,11,Autumn
3610,49,1927,12/5/2027,1920,12,Winter
3109,51,1927,12/19/2027,1920,12,Winter
3966,52,1927,12/26/2027,1920,12,Winter
4198,1,1928,1/2/2028,1920,1,Winter
4464,2,1928,1/9/2028,1920,1,Winter
5047,3,1928,1/16/2028,1920,1,Winter
5209,4,1928,1/23/2028,1920,1,Winter
5628,5,1928,1/30/2028,1920,1,Winter
5619,6,1928,2/6/2028,1920,2,Winter
5263,7,1928,2/13/2028,1920,2,Winter
5238,8,1928,2/20/2028,1920,2,Winter
5742,9,1928,2/27/2028,1920,2,Winter
5380,10,1928,3/5/2028,1920,3,Spring
4899,11,1928,3/12/2028,1920,3,Spring
5182,12,1928,3/19/2028,1920,3,Spring
5222,13,1928,3/26/2028,1920,3,Spring
4814,14,1928,4/2/2028,1920,4,Spring
4410,15,1928,4/9/2028,1920,4,Spring
4244,16,1928,4/16/2028,1920,4,Spring
4178,17,1928,4/23/2028,1920,4,Spring
4316,18,1928,4/30/2028,1920,4,Spring
4193,19,1928,5/7/2028,1920,5,Spring
3880,20,1928,5/14/2028,1920,5,Spring
3684,21,1928,5/21/2028,1920,5,Spring
3092,22,1928,5/28/2028,1920,5,Spring
2903,23,1928,6/4/2028,1920,6,Summer
2587,24,1928,6/11/2028,1920,6,Summer
2110,25,1928,6/18/2028,1920,6,Summer
1853,26,1928,6/25/2028,1920,6,Summer
1353,27,1928,7/2/2028,1920,7,Summer
1153,28,1928,7/9/2028,1920,7,Summer
950,29,1928,7/16/2028,1920,7,Summer
734,30,1928,7/23/2028,1920,7,Summer
960,31,1928,7/30/2028,1920,7,Summer
772,32,1928,8/6/2028,1920,8,Summer
617,33,1928,8/13/2028,1920,8,Summer
610,34,1928,8/20/2028,1920,8,Summer
725,35,1928,8/27/2028,1920,8,Summer
786,36,1928,9/3/2028,1920,9,Autumn
1173,37,1928,9/10/2028,1920,9,Autumn
1247,38,1928,9/17/2028,1920,9,Autumn
1675,39,1928,9/24/2028,1920,9,Autumn
1984,40,1928,10/1/2028,1920,10,Autumn
2343,41,1928,10/8/2028,1920,10,Autumn
2400,42,1928,10/15/2028,1920,10,Autumn
2390,43,1928,10/22/2028,1920,10,Autumn
2636,44,1928,10/29/2028,1920,10,Autumn
3105,45,1928,11/5/2028,1920,11,Autumn
3386,46,1928,11/12/2028,1920,11,Autumn
3529,47,1928,11/19/2028,1920,11,Autumn
3462,48,1928,11/26/2028,1920,11,Autumn
3898,49,1928,12/3/2028,1920,12,Winter
4093,50,1928,12/10/2028,1920,12,Winter
3094,51,1928,12/17/2028,1920,12,Winter
3470,52,1928,12/24/2028,1920,12,Winter
3717,2,1929,1/7/2029,1920,1,Winter
4004,3,1929,1/14/2029,1920,1,Winter
4204,4,1929,1/21/2029,1920,1,Winter
4684,5,1929,1/28/2029,1920,1,Winter
4542,6,1929,2/4/2029,1920,2,Winter
5225,7,1929,2/11/2029,1920,2,Winter
4462,8,1929,2/18/2029,1920,2,Winter
5609,9,1929,2/25/2029,1920,2,Winter
5556,10,1929,3/4/2029,1920,3,Spring
5944,11,1929,3/11/2029,1920,3,Spring
5666,12,1929,3/18/2029,1920,3,Spring
5379,13,1929,3/25/2029,1920,3,Spring
5431,14,1929,4/1/2029,1920,4,Spring
5069,15,1929,4/8/2029,1920,4,Spring
4549,16,1929,4/15/2029,1920,4,Spring
4496,17,1929,4/22/2029,1920,4,Spring
5001,18,1929,4/29/2029,1920,4,Spring
4276,19,1929,5/6/2029,1920,5,Spring
4307,20,1929,5/13/2029,1920,5,Spring
4177,21,1929,5/20/2029,1920,5,Spring
3796,22,1929,5/27/2029,1920,5,Spring
3283,23,1929,6/3/2029,1920,6,Summer
2875,24,1929,6/10/2029,1920,6,Summer
2374,25,1929,6/17/2029,1920,6,Summer
1784,26,1929,6/24/2029,1920,6,Summer
1383,27,1929,7/1/2029,1920,7,Summer
1339,28,1929,7/8/2029,1920,7,Summer
1200,29,1929,7/15/2029,1920,7,Summer
1076,30,1929,7/22/2029,1920,7,Summer
919,31,1929,7/29/2029,1920,7,Summer
894,32,1929,8/5/2029,1920,8,Summer
793,33,1929,8/12/2029,1920,8,Summer
844,34,1929,8/19/2029,1920,8,Summer
859,35,1929,8/26/2029,1920,8,Summer
1018,36,1929,9/2/2029,1920,9,Autumn
1238,37,1929,9/9/2029,1920,9,Autumn
1345,38,1929,9/16/2029,1920,9,Autumn
1685,39,1929,9/23/2029,1920,9,Autumn
1950,40,1929,9/30/2029,1920,9,Autumn
2067,41,1929,10/7/2029,1920,10,Autumn
2683,42,1929,10/14/2029,1920,10,Autumn
2868,43,1929,10/21/2029,1920,10,Autumn
3202,44,1929,10/28/2029,1920,10,Autumn
3445,45,1929,11/4/2029,1920,11,Autumn
3699,46,1929,11/11/2029,1920,11,Autumn
3826,47,1929,11/18/2029,1920,11,Autumn
3883,48,1929,11/25/2029,1920,11,Autumn
3482,1,1929,12/31/2028,1920,12,Winter
4260,49,1929,12/2/2029,1920,12,Winter
4477,50,1929,12/9/2029,1920,12,Winter
3870,51,1929,12/16/2029,1920,12,Winter
3516,52,1929,12/23/2029,1920,12,Winter
4937,2,1930,1/6/1930,1930,1,Winter
4779,3,1930,1/13/1930,1930,1,Winter
5020,4,1930,1/20/1930,1930,1,Winter
5420,5,1930,1/27/1930,1930,1,Winter
5507,6,1930,2/3/1930,1930,2,Winter
5135,7,1930,2/10/1930,1930,2,Winter
5047,8,1930,2/17/1930,1930,2,Winter
5909,9,1930,2/24/1930,1930,2,Winter
5328,10,1930,3/3/1930,1930,3,Spring
5479,11,1930,3/10/1930,1930,3,Spring
5093,12,1930,3/17/1930,1930,3,Spring
4360,13,1930,3/24/1930,1930,3,Spring
4855,14,1930,3/31/1930,1930,3,Spring
5214,15,1930,4/7/1930,1930,4,Spring
4635,16,1930,4/14/1930,1930,4,Spring
4301,17,1930,4/21/1930,1930,4,Spring
4146,18,1930,4/28/1930,1930,4,Spring
3917,19,1930,5/5/1930,1930,5,Spring
3468,20,1930,5/12/1930,1930,5,Spring
3219,21,1930,5/19/1930,1930,5,Spring
2692,22,1930,5/26/1930,1930,5,Spring
2882,23,1930,6/2/1930,1930,6,Summer
2631,24,1930,6/9/1930,1930,6,Summer
2007,25,1930,6/16/1930,1930,6,Summer
1621,26,1930,6/23/1930,1930,6,Summer
1136,27,1930,6/30/1930,1930,6,Summer
1226,28,1930,7/7/1930,1930,7,Summer
822,29,1930,7/14/1930,1930,7,Summer
785,30,1930,7/21/1930,1930,7,Summer
734,31,1930,7/28/1930,1930,7,Summer
613,32,1930,8/4/1930,1930,8,Summer
641,33,1930,8/11/1930,1930,8,Summer
613,34,1930,8/18/1930,1930,8,Summer
650,35,1930,8/25/1930,1930,8,Summer
944,36,1930,9/1/1930,1930,9,Autumn
992,37,1930,9/8/1930,1930,9,Autumn
1050,38,1930,9/15/1930,1930,9,Autumn
1500,39,1930,9/22/1930,1930,9,Autumn
1678,40,1930,9/29/1930,1930,9,Autumn
1921,41,1930,10/6/1930,1930,10,Autumn
2315,42,1930,10/13/1930,1930,10,Autumn
2495,43,1930,10/20/1930,1930,10,Autumn
2977,44,1930,10/27/1930,1930,10,Autumn
3306,45,1930,11/3/1930,1930,11,Autumn
3670,46,1930,11/10/1930,1930,11,Autumn
3943,47,1930,11/17/1930,1930,11,Autumn
3330,48,1930,11/24/1930,1930,11,Autumn
4684,1,1930,12/30/2029,1930,12,Winter
3889,49,1930,12/1/1930,1930,12,Winter
4223,50,1930,12/8/1930,1930,12,Winter
3819,51,1930,12/15/1930,1930,12,Winter
3585,52,1930,12/22/1930,1930,12,Winter
4469,53,1930,12/29/1930,1930,12,Winter
5257,2,1931,1/5/1931,1930,1,Winter
5453,3,1931,1/12/1931,1930,1,Winter
5875,4,1931,1/19/1931,1930,1,Winter
5702,5,1931,1/26/1931,1930,1,Winter
5843,6,1931,2/2/1931,1930,2,Winter
5799,7,1931,2/9/1931,1930,2,Winter
6219,8,1931,2/16/1931,1930,2,Winter
6114,9,1931,2/23/1931,1930,2,Winter
6229,10,1931,3/2/1931,1930,3,Spring
5918,11,1931,3/9/1931,1930,3,Spring
5931,12,1931,3/16/1931,1930,3,Spring
5731,13,1931,3/23/1931,1930,3,Spring
5545,14,1931,3/30/1931,1930,3,Spring
5449,15,1931,4/6/1931,1930,4,Spring
5485,16,1931,4/13/1931,1930,4,Spring
5844,17,1931,4/20/1931,1930,4,Spring
5367,18,1931,4/27/1931,1930,4,Spring
5401,19,1931,5/4/1931,1930,5,Spring
4727,20,1931,5/11/1931,1930,5,Spring
4567,21,1931,5/18/1931,1930,5,Spring
4207,22,1931,5/25/1931,1930,5,Spring
3574,23,1931,6/1/1931,1930,6,Summer
2951,24,1931,6/8/1931,1930,6,Summer
2474,25,1931,6/15/1931,1930,6,Summer
1724,26,1931,6/22/1931,1930,6,Summer
1388,27,1931,6/29/1931,1930,6,Summer
1141,28,1931,7/6/1931,1930,7,Summer
948,29,1931,7/13/1931,1930,7,Summer
882,30,1931,7/20/1931,1930,7,Summer
812,31,1931,7/27/1931,1930,7,Summer
721,32,1931,8/3/1931,1930,8,Summer
818,33,1931,8/10/1931,1930,8,Summer
935,34,1931,8/17/1931,1930,8,Summer
1008,35,1931,8/24/1931,1930,8,Summer
1126,36,1931,8/31/1931,1930,8,Summer
1226,37,1931,9/7/1931,1930,9,Autumn
1415,38,1931,9/14/1931,1930,9,Autumn
1604,39,1931,9/21/1931,1930,9,Autumn
2182,40,1931,9/28/1931,1930,9,Autumn
2379,41,1931,10/5/1931,1930,10,Autumn
2870,42,1931,10/12/1931,1930,10,Autumn
3208,43,1931,10/19/1931,1930,10,Autumn
3473,44,1931,10/26/1931,1930,10,Autumn
4044,45,1931,11/2/1931,1930,11,Autumn
3881,46,1931,11/9/1931,1930,11,Autumn
3607,47,1931,11/16/1931,1930,11,Autumn
3766,48,1931,11/23/1931,1930,11,Autumn
4059,49,1931,11/30/1931,1930,11,Autumn
4867,1,1931,12/29/1930,1930,12,Winter
3944,50,1931,12/7/1931,1930,12,Winter
3396,51,1931,12/14/1931,1930,12,Winter
4203,52,1931,12/21/1931,1930,12,Winter
4692,1,1932,1/4/1932,1930,1,Winter
5238,2,1932,1/11/1932,1930,1,Winter
5055,3,1932,1/18/1932,1930,1,Winter
5409,4,1932,1/25/1932,1930,1,Winter
5446,5,1932,2/1/1932,1930,2,Winter
5774,6,1932,2/8/1932,1930,2,Winter
5640,7,1932,2/15/1932,1930,2,Winter
6582,8,1932,2/22/1932,1930,2,Winter
6353,9,1932,2/29/1932,1930,2,Winter
6438,10,1932,3/7/1932,1930,3,Spring
6566,11,1932,3/14/1932,1930,3,Spring
6070,12,1932,3/21/1932,1930,3,Spring
6724,13,1932,3/28/1932,1930,3,Spring
5696,14,1932,4/4/1932,1930,4,Spring
6310,15,1932,4/11/1932,1930,4,Spring
5850,16,1932,4/18/1932,1930,4,Spring
