number,month,decade
41166,1,1920
41706,2,1920
43229,3,1920
46514,4,1920
31405,5,1920
19769,6,1920
11085,7,1920
6133,8,1920
12140,9,1920
22602,10,1920
35289,11,1920
44883,12,1920
253184,1,1930
256422,2,1930
293609,3,1930
253283,4,1930
215806,5,1930
117326,6,1930
49838,7,1930
38953,8,1930
63387,9,1930
134377,10,1930
175755,11,1930
200764,12,1930
154412,1,1940
162905,2,1940
191808,3,1940
169265,4,1940
136714,5,1940
68988,6,1940
32261,7,1940
24275,8,1940
37746,9,1940
72889,10,1940
97829,11,1940
110142,12,1940
18219,1,1950
17412,2,1950
16827,3,1950
16543,4,1950
12794,5,1950
6690,6,1950
4013,7,1950
1772,8,1950
3000,9,1950
7425,10,1950
8693,11,1950
6710,12,1950
29933,1,1960
45453,2,1960
59962,3,1960
38443,4,1960
36658,5,1960
17120,6,1960
16839,7,1960
18648,8,1960
18389,9,1960
23515,10,1960
35507,11,1960
30564,12,1960
