number,decade,season,val,season2
0,1900,Winter,0,1
0,1920,Winter,0,1
97544,1930,Winter,8,1
325615,1940,Winter,27,1
91451,1950,Winter,8,1
2127,1970,Winter,1,1
3700,1980,Winter,1,1
7017,1990,Winter,1,1
6536,2000,Winter,1,1
9074,2010,Winter,1,1
2,1900,Spring,0,2
0,1920,Spring,0,2
84911,1930,Spring,7,2
372497,1940,Spring,30,2
110731,1950,Spring,9,2
1565,1970,Spring,1,2
4053,1980,Spring,1,2
7022,1990,Spring,1,2
5948,2000,Spring,1,2
10748,2010,Spring,1,2
0,1900,Summer,0,3
96,1920,Summer,1,3
94988,1930,Summer,8,3
354901,1940,Summer,29,3
99590,1950,Summer,9,3
2564,1970,Summer,1,3
6546,1980,Summer,1,3
9378,1990,Summer,1,3
6928,2000,Summer,1,3
13807,2010,Summer,2,3
0,1900,Autumn,0,4
0,1920,Autumn,0,4
91203,1930,Autumn,8,4
293830,1940,Autumn,24,4
82633,1950,Autumn,7,4
2652,1970,Autumn,1,4
8193,1980,Autumn,1,4
12081,1990,Autumn,1,4
6941,2000,Autumn,1,4
10763,2010,Autumn,1,4
