number,month,year,
0,April,1900,
0,August,1900,
0,December,1900,
0,February,1900,
0,January ,1900,
0,July,1900,
0,June,1900,
0,May,1900,
0,November,1900,
0,October,1900,
0,September,1900,
0,April,1920,
0,August,1920,
0,December,1920,
0,February,1920,
0,January ,1920,
0,March,1920,
0,May,1920,
0,November,1920,
0,October,1920,
0,September,1920,
2,March,1900,
11,June,1920,
85,July,1920,
490,April,1970,
521,May,1970,
554,March,1970,
576,June,1970,
618,February,1970,
695,January,1970,
750,November,1970,
814,December,1970,
861,January,1980,
877,October,1970,
901,July,1970,
1025,September,1970,
1087,August,1970,
1226,April,1980,
1234,February,1980,
1358,January,1990,
1392,May,1980,
1425,June,1980,
1435,March,1980,
1605,December,1980,
1820,May,2000,
1881,November,1980,
1907,February,1990,
1959,June,2000,
1961,April,2000,
1961,February,2000,
1981,January,2000,
2120,July,1980,
2152,June,1990,
2167,March,2000,
2212,May,1990,
2258,April,1990,
2267,November,2000,
2331,September,2000,
2343,October,2000,
2371,July,2000,
2512,February,2010,
2552,March,1990,
2588,January,2010,
2594,December,2000,
2598,August,2000,
2850,March,2010,
2947,September,1980,
2971,July,1990,
3001,August,1980,
3365,October,1980,
3482,November,2010,
3559,September,2010,
3595,April,2010,
3674,November,1990,
3722,October,2010,
3752,December,1990,
3974,December,2010,
4023,October,1990,2
4121,June,2010,2
4255,August,1990,2
4303,May,2010,2
4384,September,1990,2
4422,August,2010,2
5264,July,2010,2
19687,December,1950,5
22856,September,1930,5
24824,April,1930,5
26261,September,1950,5
26901,October,1950,5
26979,March,1930,5
27642,October,1930,5
28032,February,1930,5
28143,August,1930,5
28473,August,1950,5
29275,June,1930,5
29471,November,1950,5
33108,May,1930,6
33143,February,1950,6
33166,December,1930,6
34805,April,1950,6
35169,June,1950,6
35205,March,1950,6
35948,July,1950,6
36346,January,1930,6
37570,July,1930,6
38621,January,1950,6
40705,November,1930,7
40721,May,1950,7
88120,October,1940,15
99283,September,1940,15
102223,December,1940,15
105726,August,1940,15
106427,November,1940,15
107381,February,1940,15
116011,January,1940,15
118454,April,1940,15
124381,June,1940,20
124794,July,1940,20
126922,May,1940,20
127121,March,1940,20
