State,fips,1925,1928,1932,1935,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2006,2007,2008,2009,2010,2011,2012,2013,2014
AK,US02,,,,,,,,,,,,,,,,,,3186,3646,,,,1105,,120,,231,921,462,15,,,335,,161,18,351,21,,579,6,6,6,3,,,527,452,6,429,123,1886,1628,8784,1038,,3,6604,10706,900
AL,US01,,,,,137,1005,1892,9253,12889,14252,15133,10966,10727,9931,13946,12669,13216,11497,11899,10105,13291,9605,12527,924,1637,126,228,117,12,120,,123,120,3,1496,612,942,3010,5967,4404,3483,387,3727,1941,2180,814,948,1038,594,252,1389,2566,6,15,1685,717,689,1695,1281,717
AR,US05,,,,,173,467,787,9565,10664,11783,12367,9492,10190,9015,14090,11844,10589,14838,12089,9645,12259,9681,11580,1142,1151,1106,929,960,807,258,6,225,723,891,345,822,129,1964,1244,1191,366,486,360,1553,821,468,2087,4265,483,209,1608,2599,1901,1508,2613,2437,360,930,1619,1610
AZ,US04,,,,,28,298,748,10775,11280,12772,7930,10788,10712,11275,9582,13881,10226,16476,14772,11941,8451,9656,11669,,,,,1149,1371,1689,468,1012,1961,1152,3005,3636,2465,4460,8655,1464,1661,3638,578,4436,6477,1474,1799,4233,3085,4621,7559,6832,3108,1059,2241,1508,2268,4482,4469,1811
CA,US06,,,,,2143,4045,6939,10650,13943,7805,12296,20661,9876,22090,9979,18246,20293,11263,20421,17337,15372,11765,11429,14332,8948,4220,9467,13016,6329,8539,9495,5215,6618,8201,11153,10419,9921,10790,10018,11915,11007,9388,10554,7454,8052,6120,4792,4139,4044,4519,,1399,417,420,3,4217,5297,732,4175,5972
CO,US08,,,,,62,937,1918,10663,14627,11039,12971,9197,12227,11011,17237,15609,12097,9085,5530,11319,7823,10571,8678,,,,572,153,2063,837,1327,836,7390,2854,4849,4342,4223,2322,2567,3886,7357,2377,6185,1708,4816,6074,11582,7994,8771,12431,10425,8231,12316,8178,10237,9931,9495,,3015,1938
CT,US09,,,,,329,3408,3800,16871,20924,19666,14100,16046,17503,16613,19570,11895,14868,13308,12190,13006,9232,13037,11545,1047,246,708,21,357,18,12,3,225,335,123,252,1266,1666,933,897,1236,705,2150,4371,2024,1358,567,696,1031,873,1455,243,,2,,,3,117,3,3,
DC,US11,,,,,44,495,1332,12309,9090,7607,11706,11447,14110,14431,11083,11234,6344,10450,9783,4325,8339,9699,6865,,,,3,,,,,3,,,3,,,3,120,747,6,3,357,360,18,120,117,,,,3,231,,6,,,3,345,1027,132
DE,US10,,,0,,71,358,430,13178,10418,6160,7982,3598,5567,11811,10575,3774,9109,13502,3500,1630,1860,1901,4212,225,114,,,3,,3,3,123,231,3,,1484,228,18,3,6,,237,591,9,30,474,,123,231,132,,,9,6,9,9,15,249,132,1026
