"x","number"
"1940 AL",9253
"1940 AR",9565
"1940 AZ",10775
"1940 CA",10650
"1940 CO",10663
"1940 CT",16871
"1940 DC",12309
"1940 DE",13178
"1940 FL",11640
"1940 GA",9811
"1940 IA",12557
"1940 ID",12276
"1940 IL",9949
"1940 IN",9385
"1940 KS",16649
"1940 KY",19626
"1940 LA",15381
"1940 MA",4733
"1940 MD",12937
"1940 ME",13202
"1940 MI",7107
"1940 MN",13969
"1940 MO",13238
"1940 MT",10180
"1940 NC",13858
"1940 ND",9170
"1940 NE",14323
"1940 NH",6039
"1940 NJ",13608
"1940 NM",12947
"1940 NV",351
"1940 NY",14034
"1940 OH",9705
"1940 OK",9148
"1940 OR",10912
"1940 PA",15183
"1940 RI",13807
"1940 SC",8330
"1940 SD",9967
"1940 TN",15915
"1940 TX",11302
"1940 UT",10438
"1940 VA",18624
"1940 VT",10962
"1940 WA",18016
"1940 WI",12913
"1940 WV",15456
"1940 WY",10782
"1941 AL",12889
"1941 AR",10664
"1941 AZ",11280
"1941 CA",13943
"1941 CO",14627
"1941 CT",20924
"1941 DC",9090
"1941 DE",10418
"1941 FL",10910
"1941 GA",9965
"1941 IA",13984
"1941 ID",10469
"1941 IL",10043
"1941 IN",10846
"1941 KS",13341
"1941 KY",21006
"1941 LA",10877
"1941 MA",6994
"1941 MD",19068
"1941 ME",11194
"1941 MI",12139
"1941 MN",20205
"1941 MO",16281
"1941 MT",13759
"1941 NC",9665
"1941 ND",9341
"1941 NE",11932
"1941 NH",9249
"1941 NJ",8423
"1941 NM",10332
"1941 NV",7098
"1941 NY",14246
"1941 OH",11072
"1941 OK",11617
"1941 OR",9812
"1941 PA",12193
"1941 RI",9589
"1941 SC",14344
"1941 SD",11037
"1941 TN",18660
"1941 TX",13453
"1941 UT",16321
"1941 VA",14627
"1941 VT",9304
"1941 WA",14222
"1941 WI",8546
"1941 WV",15552
"1941 WY",10181
"1942 AL",14252
"1942 AR",11783
"1942 AZ",12772
"1942 CA",7805
"1942 CO",11039
"1942 CT",19666
"1942 DC",7607
"1942 DE",6160
"1942 FL",11380
"1942 GA",11236
"1942 IA",8546
"1942 ID",10348
"1942 IL",8058
"1942 IN",15623
"1942 KS",16918
"1942 KY",17631
"1942 LA",10923
"1942 MA",6513
"1942 MD",19966
"1942 ME",14501
"1942 MI",6965
"1942 MN",16582
"1942 MO",10925
"1942 MS",6
"1942 MT",7899
"1942 NC",13634
"1942 ND",10788
"1942 NE",12748
"1942 NH",11150
"1942 NJ",8346
"1942 NM",12757
"1942 NV",8892
"1942 NY",18125
"1942 OH",5288
"1942 OK",13460
"1942 OR",12272
"1942 PA",8721
"1942 RI",12684
"1942 SC",16566
"1942 SD",8839
"1942 TN",13716
"1942 TX",9020
"1942 UT",11435
"1942 VA",18075
"1942 VT",17913
"1942 WA",11841
"1942 WI",6569
"1942 WV",11065
"1942 WY",12285
"1943 AL",15133
"1943 AR",12367
"1943 AZ",7930
"1943 CA",12296
"1943 CO",12971
"1943 CT",14100
"1943 DC",11706
"1943 DE",7982
"1943 FL",8608
"1943 GA",13320
"1943 IA",12807
"1943 ID",8607
"1943 IL",4098
"1943 IN",16908
"1943 KS",17258
"1943 KY",17353
"1943 LA",10861
"1943 MA",15269
"1943 MD",14404
"1943 ME",12531
"1943 MI",9014
"1943 MN",22049
"1943 MO",11434
"1943 MT",9612
"1943 NC",8361
"1943 ND",10578
"1943 NE",12113
"1943 NH",5424
"1943 NJ",8041
"1943 NM",10967
"1943 NV",3652
"1943 NY",10799
"1943 OH",7657
"1943 OK",10160
"1943 OR",12103
"1943 PA",9669
"1943 RI",12413
"1943 SC",17017
"1943 SD",11001
"1943 TN",17754
"1943 TX",15615
"1943 UT",15897
"1943 VA",13476
"1943 VT",9156
"1943 WA",17345
"1943 WI",7813
"1943 WV",15957
"1943 WY",7904
"1944 AL",10966
"1944 AR",9492
"1944 AZ",10788
"1944 CA",20661
"1944 CO",9197
"1944 CT",16046
"1944 DC",11447
"1944 DE",3598
"1944 FL",9030
"1944 GA",9293
"1944 IA",10428
"1944 ID",7429
"1944 IL",19033
"1944 IN",9326
"1944 KS",12471
"1944 KY",17970
"1944 LA",5141
"1944 MA",20626
"1944 MD",17768
"1944 ME",9897
"1944 MI",20656
"1944 MN",11938
"1944 MO",8451
"1944 MS",14
"1944 MT",12844
"1944 NC",11464
"1944 ND",11419
"1944 NE",10283
"1944 NH",4022
"1944 NJ",21278
"1944 NM",8996
"1944 NV",2014
"1944 NY",5164
"1944 OH",15632
"1944 OK",11045
"1944 OR",13357
"1944 PA",14511
"1944 RI",10864
"1944 SC",18743
"1944 SD",10167
"1944 TN",10874
"1944 TX",5879
"1944 UT",14907
"1944 VA",16270
"1944 VT",11499
"1944 WA",11325
"1944 WI",18289
