row_idx	col_idx	log2ratio
1	1	122982
2	1	0
3	1	109221
4	1	109599
5	1	145839
6	1	126678
7	1	168056
8	1	82172
9	1	109361
10	1	108345
11	1	108344
12	1	0
13	1	103637
14	1	135225
15	1	121322
16	1	118128
17	1	141837
18	1	154581
19	1	96338
20	1	119796
21	1	161195
22	1	107482
23	1	109624
24	1	145907
25	1	55021
26	1	117818
27	1	104419
28	1	90844
29	1	19533
30	1	79054
31	1	117733
32	1	88891
33	1	99633
34	1	127541
35	1	89225
36	1	119037
37	1	111064
38	1	110101
39	1	112474
40	1	111032
41	1	154907
42	1	78300
43	1	135286
44	1	118255
45	1	123440
46	1	115150
47	1	161645
48	1	127986
49	1	119751
50	1	124586
51	1	87527
1	2	68924
2	2	7937
3	2	72965
4	2	70092
5	2	87587
6	2	53006
7	2	72318
8	2	26605
9	2	49461
10	2	70300
11	2	58135
12	2	3342
13	2	51793
14	2	71463
15	2	76673
16	2	55015
17	2	63998
18	2	77376
19	2	56005
20	2	66747
21	2	84533
22	2	74539
23	2	89474
24	2	60201
25	2	65711
26	2	72505
27	2	50398
28	2	30653
29	2	3911
30	2	45120
31	2	78424
32	2	63744
33	2	90010
34	2	77153
35	2	42001
36	2	81449
37	2	68654
38	2	72612
39	2	107153
40	2	57489
41	2	62320
42	2	25775
43	2	69335
44	2	64225
45	2	46828
46	2	58297
47	2	72080
48	2	64977
49	2	72545
50	2	77439
51	2	26624
1	3	3044
2	3	1734
3	3	2520
4	3	6095
5	3	56312
6	3	2788
7	3	2397
8	3	342
9	3	3
10	3	10340
11	3	14188
12	3	471
13	3	1694
14	3	28525
15	3	5725
16	3	975
17	3	1364
18	3	10067
19	3	6306
20	3	467
21	3	135
22	3	2166
23	3	24721
24	3	2367
25	3	3978
26	3	9115
27	3	2058
28	3	138
29	3	12
30	3	1223
31	3	1095
32	3	7264
33	3	44557
34	3	13479
35	3	456
36	3	22179
37	3	5100
38	3	14648
39	3	4428
40	3	1738
41	3	2231
42	3	842
43	3	17887
44	3	31835
45	3	6194
46	3	1136
47	3	4088
48	3	12446
49	3	6803
50	3	19091
51	3	344
1	4	12393
2	4	901
3	4	28503
4	4	6607
5	4	90369
6	4	31547
7	4	5712
8	4	2096
9	4	129
10	4	27935
11	4	35719
12	4	18261
13	4	21568
14	4	21029
15	4	27820
16	4	6536
17	4	12421
18	4	5148
19	4	9600
20	4	5295
21	4	19869
22	4	24031
23	4	17523
24	4	16258
25	4	1574
26	4	10333
27	4	4663
28	4	1574
29	4	360
30	4	11292
31	4	4108
32	4	6497
33	4	85193
34	4	30425
35	4	246
36	4	46785
37	4	35141
38	4	9971
39	4	35227
40	4	3394
41	4	3215
42	4	1565
43	4	10590
44	4	29272
45	4	8945
46	4	1908
47	4	12343
48	4	49706
49	4	6968
50	4	6038
51	4	1508
1	5	19516
2	5	1585
3	5	28845
4	5	12080
5	5	77465
6	5	60750
7	5	15011
8	5	1701
9	5	1728
10	5	49373
11	5	17430
12	5	12912
13	5	43803
14	5	21507
15	5	39921
16	5	13640
17	5	5964
18	5	1876
19	5	4749
20	5	8592
21	5	38446
22	5	75370
23	5	21756
24	5	42685
25	5	279
26	5	22072
27	5	5393
28	5	2744
29	5	3288
30	5	41315
31	5	74
32	5	41244
33	5	90653
34	5	37053
35	5	932
36	5	75848
37	5	24254
38	5	24237
39	5	53575
40	5	8051
41	5	10496
42	5	2873
43	5	19261
44	5	33340
45	5	19885
46	5	26178
47	5	20274
48	5	79364
49	5	2810
50	5	585
51	5	57
1	6	5913
2	6	13888
3	6	25420
4	6	10438
5	6	6758
6	6	61818
7	6	1700
8	6	156
9	6	240
10	6	59089
11	6	3007
12	6	492
13	6	12347
14	6	6882
15	6	28419
16	6	2067
17	6	19907
18	6	8131
19	6	27
20	6	3280
21	6	20029
22	6	9145
23	6	33978
24	6	18997
25	6	1188
26	6	34276
27	6	10036
28	6	14374
29	6	1650
30	6	10239
31	6	2278
32	6	10652
33	6	72062
34	6	24952
35	6	3191
36	6	54576
37	6	7419
38	6	9483
39	6	57270
40	6	4247
41	6	13739
42	6	590
43	6	19811
44	6	27828
45	6	25089
46	6	13422
47	6	18069
48	6	57406
49	6	1940
50	6	877
51	6	2530
1	7	5099
2	7	18213
3	7	14538
4	7	6956
5	7	20393
6	7	24379
7	7	126
8	7	1431
9	7	1507
10	7	53816
11	7	9545
12	7	513
13	7	42669
14	7	12
15	7	3
16	7	3
17	7	717
18	7	17916
19	7	30
20	7	25455
21	7	24030
22	7	4407
23	7	44681
24	7	6057
25	7	375
26	7	47983
27	7	25939
28	7	29758
29	7	9678
30	7	369
31	7	0
32	7	803
33	7	50339
34	7	28320
35	7	5569
36	7	47164
37	7	15988
38	7	14077
39	7	54155
40	7	5915
41	7	16864
42	7	0
43	7	35750
44	7	56913
45	7	492
46	7	11648
47	7	38486
48	7	40736
49	7	6295
50	7	12781
51	7	6
