number,decade,season
0,1900,Winter
2,1900,Spring
0,1900,Summer
0,1900,Autumn
0,1920,Winter
0,1920,Spring
96,1920,Summer
0,1920,Autumn
97544,1930,Winter
84911,1930,Spring
94988,1930,Summer
91203,1930,Autumn
325615,1940,Winter
372497,1940,Spring
354901,1940,Summer
293830,1940,Autumn
91451,1950,Winter
110731,1950,Spring
99590,1950,Summer
82633,1950,Autumn
2127,1970,Winter
1565,1970,Spring
2564,1970,Summer
2652,1970,Autumn
3700,1980,Winter
4053,1980,Spring
6546,1980,Summer
8193,1980,Autumn
7017,1990,Winter
7022,1990,Spring
9378,1990,Summer
12081,1990,Autumn
6536,2000,Winter
5948,2000,Spring
6928,2000,Summer
6941,2000,Autumn
9074,2010,Winter
10748,2010,Spring
13807,2010,Summer
10763,2010,Autumn
